,0
180,"unexpected key ""outputs"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
181,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:21,col:7. note that key names are case insensitive"
182,"key ""java-version"" is duplicated in ""with"" section. previously defined at line:15,col:9. note that key names are case insensitive"
183,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:23,col:7. note that key names are case insensitive"
184,"key ""steps"" is duplicated in ""scan-lnx"" job. previously defined at line:38,col:5. note that key names are case insensitive"
185,"""with"" section should not be empty. please remove this section if it's unnecessary"
186,"key ""with"" is duplicated in element of ""steps"" section. previously defined at line:140,col:7. note that key names are case insensitive"
187,"""runs-on"" section is missing in job ""notification"""
188,"""steps"" section is missing in job ""notification"""
189,"""issue_comment"" section is sequence node but mapping node is expected"
190,"""issue_comment"" section is scalar node but mapping node is expected"
191,"unexpected key ""action"" for ""issue_comment"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
192,"unexpected key ""comment"" for ""issue_comment"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
193,"""with"" section is scalar node but mapping node is expected"
194,"unexpected key ""retention-days"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
195,"unexpected key ""cancel-in-progress"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
196,"unexpected key ""group"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
197,"""steps"" section is missing in job ""concurrency"""
198,"""runs-on"" section is missing in job ""concurrency"""
199,"""labelWhenApproved:on"" job is scalar node but mapping node is expected"
200,"key ""name"" is duplicated in workflow. previously defined at line:1,col:1. note that key names are case insensitive"
201,"""steps"" section is missing in job ""labelWhenApproved:on"""
202,"key ""jobs"" is duplicated in workflow. previously defined at line:8,col:1. note that key names are case insensitive"
203,"""runs-on"" section is missing in job ""labelWhenApproved:on"""
204,"unexpected key ""outputs"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
205,"unexpected key ""tag"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
206,"""branches"" section must be sequence node but got mapping node with ""!!map"" tag"
207,"""matrix values"" section must be sequence node but got alias node with """" tag"
208,"key ""with"" is duplicated in element of ""steps"" section. previously defined at line:11,col:9. note that key names are case insensitive"
209,"unexpected key ""config"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
210,"unexpected key ""options"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
211,"key ""DISABLE_INTERFACES"" is duplicated in env. previously defined at line:27,col:7. note that key names are case insensitive"
212,"key ""steps"" is duplicated in ""read-file"" job. previously defined at line:15,col:5. note that key names are case insensitive"
213,"key ""runs-on"" is duplicated in ""read-file"" job. previously defined at line:12,col:5. note that key names are case insensitive"
214,"unexpected key ""output-log"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
215,"unexpected key ""template"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
216,"key ""path"" is duplicated in ""with"" section. previously defined at line:33,col:11. note that key names are case insensitive"
217,"key ""name"" is duplicated in ""with"" section. previously defined at line:32,col:11. note that key names are case insensitive"
218,"unexpected key ""fail-fast"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
219,"key ""with"" is duplicated in element of ""steps"" section. previously defined at line:16,col:9. note that key names are case insensitive"
220,"key ""uses"" is duplicated in element of ""steps"" section. previously defined at line:15,col:9. note that key names are case insensitive"
221,"""include"" section must be sequence node but got mapping node with ""!!map"" tag"
222,"key ""runs-on"" is duplicated in ""build"" job. previously defined at line:8,col:5. note that key names are case insensitive"
223,"unexpected key ""problemMatcher"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
224,"unexpected key ""pull_requets"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
225,"unexpected key ""pull_requests"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
226,"unexpected key ""comment"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
227,"""runs-on"" section is missing in job ""timeout-minutes"""
228,"""timeout-minutes"" job is scalar node but mapping node is expected"
229,"""steps"" section is missing in job ""timeout-minutes"""
230,"unexpected key ""channels"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
231,"unexpected key ""dependencies"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
232,"element of ""steps"" section is scalar node but mapping node is expected"
233,"unexpected key ""require"" for ""inputs"" section. expected one of ""default"", ""description"", ""required"""
234,"""on"" section should not be empty"
235,"expecting a single ${{...}} expression or boolean literal ""true"" or ""false"", but found plain text node"
236,"key ""automerge"" is duplicated in ""jobs"" section. previously defined at line:26,col:3. note that key names are case insensitive"
